Title,Location,Price,Area,Carpet Area,Status,Floor,Transaction,Furnishing,Facing,Overlooking,Ownership,Car Parking,Bathroom,Balcony
2 BHK Apartment for Sale in Karol Bagh New Delhi,N/A,竄ｹ2.70 Cr,852 sqft,852 sqft,Ready to Move,6 out of 13,Resale,Semi-Furnished,East,"Garden/Park, Pool, Main Road",Freehold,"1 Covered,",2,Yes
5 BHK House for Sale in Vishwas Nagar New Delhi,N/A,竄ｹ2.95 Cr,2100 sqft,2100 sqft,Ready to Move,1 out of 2,Resale,Semi-Furnished,North - West,"Garden/Park, Main Road",Freehold,1 Open,3,Yes
3 BHK Apartment for Sale in Saket New Delhi,N/A,竄ｹ3 Cr,1200 sqft,1200 sqft,Ready to Move,2 out of 4,Resale,Unfurnished,South,"Garden/Park, Main Road",Freehold,1 Open,2,Yes
3 BHK House for Sale in Mahavir Enclave Part 3 New Delhi,N/A,竄ｹ1.85 Cr,250 sqft,250 sqft,Ready to Move,N/A,Resale,Semi-Furnished,South -West,"Garden/Park, Main Road",Freehold,6 Open,3,Yes
"3 BHK Builder Floor for Sale in Maharani Bagh, New Friends Colony New Delhi",N/A,竄ｹ6.50 Cr,466 sqyrd,N/A,Ready to Move,2 out of 3,Resale,Semi-Furnished,N/A,"Garden/Park, Main Road",N/A,1 Open,3,Yes
5 BHK Builder Floor for Sale in Pusa Road New Delhi,N/A,竄ｹ4.90 Cr,220 sqyrd,220 sqyrd,Ready to Move,2 out of 4,Resale,Semi-Furnished,N/A,"Garden/Park, Main Road",Freehold,1 Open,3,Yes
9 BHK House for Sale in Old Rajinder Nagar New Delhi,N/A,竄ｹ10.50 Cr,2400 sqft,2400 sqft,Ready to Move,Ground out of 3,New Property,Furnished,East,"Garden/Park, Main Road",Freehold,"1 Covered,",5,Yes
4 BHK Apartment for Sale in Bijwasan New Delhi,N/A,竄ｹ6.66 Cr,2200 sqft,2200 sqft,N/A,9 out of 13,Resale,Semi-Furnished,North,"Garden/Park, Pool, Main Road",Freehold,"2 Covered,",4,Yes
3 BHK Apartment for Sale in Okhla New Delhi,N/A,竄ｹ5.98 Cr,2300 sqft,N/A,N/A,36 out of 36,New Property,Semi-Furnished,North - East,"Garden/Park, Main Road",Freehold,2 Covered,3,Yes
3 BHK Apartment for Sale in Punjabi Bagh New Delhi,N/A,竄ｹ2.50 Cr,1300 sqft,1300 sqft,Ready to Move,1 out of 5,Resale,Furnished,N/A,N/A,Freehold,2 Open,2,Yes
3 BHK Villa for Sale in Sultanpur New Delhi,N/A,竄ｹ9.95 Cr,4200 sqft,4200 sqft,Ready to Move,N/A,Resale,Furnished,N/A,Garden/Park,Freehold,N/A,4,Yes
4 BHK Apartment for Sale in Sector 5 Dwarka New Delhi,N/A,竄ｹ3.22 Cr,2200 sqft,2200 sqft,Ready to Move,3 out of 7,Resale,Semi-Furnished,North - East,"Garden/Park, Main Road",Freehold,"1 Covered,",3,Yes
3 BHK Apartment for Sale in Sector 12 Dwarka New Delhi,N/A,竄ｹ2.18 Cr,1600 sqft,1600 sqft,Ready to Move,5 out of 9,Resale,Semi-Furnished,North - East,"Garden/Park, Main Road",Freehold,"1 Covered,",3,Yes
4 BHK Builder Floor for Sale in Saket New Delhi,N/A,竄ｹ8.25 Cr,370 sqyrd,370 sqyrd,Ready to Move,1 out of 4,New Property,Semi-Furnished,North - East,Garden/Park,Freehold,2 Covered,4,Yes
3 BHK Apartment for Sale in Sector 7 Dwarka New Delhi,N/A,竄ｹ2.30 Cr,1550 sqft,1550 sqft,Ready to Move,2 out of 4,Resale,Semi-Furnished,North - East,"Garden/Park, Main Road",Freehold,"1 Covered,",3,Yes
